cons,old,new
AUS,1,6
AUT,2,5
BEL,3,5
CAN,4,6
CHL,5,6
COL,6,6
CRI,7,6
CZE,8,5
DNK,9,5
EST,10,5
FIN,11,5
FRA,12,5
DEU,13,5
GRC,14,5
HUN,15,5
ISL,16,6
IRL,17,5
ISR,18,6
ITA,19,5
JPN,20,4
KOR,21,1
LVA,22,5
LTU,23,5
LUX,24,5
MEX,25,6
NLD,26,5
NZL,27,6
NOR,28,6
POL,29,5
PRT,30,5
SVK,31,6
SVN,32,5
ESP,33,5
SWE,34,5
CHE,35,6
TUR,36,6
GBR,37,6
USA,38,3
ARG,39,6
BRA,40,6
BRN,41,6
BGR,42,5
KHM,43,6
CHN,44,2
HRV,45,5
CYP,46,5
IND,47,6
IDN,48,6
HKG,49,6
KAZ,50,6
LAO,51,6
MYS,52,6
MLT,53,5
MAR,54,6
MMR,55,6
PER,56,6
PHL,57,6
ROU,58,5
RUS,59,6
SAU,60,6
SGP,61,6
ZAF,62,6
TWN,63,6
THA,64,6
TUN,65,6
VNM,66,6
ROW,67,6
MX1,68,6
MX2,69,6
CN1,70,2
CN2,71,2
